row_id,split,term_zh,explanation_zh,meaning_en,equivalent_en,distractor_literal_en,distractor_cultural_mismatch_en,distractor_pragmatic_neighbor_en,harmful_label,category_label
81,train,鸡笼警告,指言行举止太骚小心被关进鸡笼，让他赶紧别骚了。,"A joking warning telling someone to stop acting overly flirty, horny, or suggestive, implying that if they keep behaving that way they deserve to be “locked up” for being too provocative.",horny jail,chicken coop warning,jailbird,thirst trap,non-harmful,Stylistic device
82,train,马后炮,比喻事后采取措施，无济于事，或者事情已经发生，才说自己有先见之明，说自己早料到事情的结果会是这样，指人们主观认识和行动落后于客观实际的某些情况。不算骂人的话，但是带有一定的贬义。,"It means offering advice, criticism, or action only after events have already unfolded, too late to help, often with the implication that someone is pretending they knew the outcome all along.",Monday-morning quarterbacking,cannon behind the horse,hold your horses,hindsight is 20/20,non-harmful,Slang
83,train,瑞思拜,网络流行词，是英语 respect 的音译，是尊重的意思。现多用在开头，表示惊叹，佩服的意思。,"Used to express admiration, approval, or respect, often at the start of a comment, when someone’s behavior, skill, attitude, or achievement feels impressive and worthy of praise.",respect,rice bye,pay respects,kudos,non-harmful,Homophonic pun
84,train,牛头人,其意为被他人强占配偶或对象，被人戴绿帽。后来牛头人逐渐泛化为“喜欢的事物被别人夺走”的意思。,"A subcultural term for having one’s partner or beloved thing taken away by someone else, originally linked to cuckold or NTR scenarios and later broadened to any feeling of losing something cherished to another person.",NTR,minotaur,bullheaded,third wheel,non-harmful,Homophonic pun
85,train,偶1某了,即我emo了的意思，网络流行语，表示有情绪了。emo不是emoji的缩写，而是emotional的缩写，翻译是情绪硬核或情绪化硬核。可以延展理解为：颓废、抑郁、消极等在夜深人静时容易产生的不太乐观的情绪、等等，总之是不太乐观的情绪之类。,"A playful way to say one has become emotional, gloomy, down, or caught in negative late-night feelings, often describing a sudden slump into pessimistic or melancholy moods.",in my feels,I one certained,emoji mood,depressed,non-harmful,Homophonic pun
86,train,NZND,NZND，是No Zuo No Die的简称，中文翻译过来“不作就不会死”的意思。,"NZND is a joking way to say that people get themselves into trouble by acting recklessly, courting avoidable consequences, or essentially asking for it through their own foolish behavior.","play stupid games, win stupid prizes","New Zealand, North Dakota","no pain, no gain",YOLO,non-harmful,Abbreviation
87,train,宾狗,意思是答对了、猜中了、中奖了、好极了之类的。“宾狗”是由“bingo”英译过来的。,"“Bingou” is a playful transliteration of “bingo,” used to express that someone got it right, guessed correctly, nailed the answer, won, or that something is simply great.",bingo,guest dog,ice dog,lucky dog,non-harmful,Homophonic pun
88,train,5G就是快,形容事情进展很快，但这个快跟是不是5G网没有关系，只是一种调侃说法。,"A joking way to say something happened or progressed very quickly, as if things were moving at 5G speed, even though it has nothing to do with an actual 5G network.",that was quick,5G is fast,fast Wi-Fi,speedrun,non-harmful,Experience
89,train,老鼠人,专门用来形容人的，而且是那种没有心气儿的人，生活条件不尽如人意，生存环境极差，失去希望的人，就像生活在下水道里的老鼠。准确点来说就是对自己没有信心，完全没有能力改变现状的人，其实这个词就是专门嘲讽这个人生活方面非常不如意，而且基本上已经失去希望的人。,"A darkly self-deprecating label for someone living in poor conditions, feeling hopeless, powerless, and unable to change their situation, as if trapped at the bottom of society with no confidence or way out.",doomer,rat person,gym rat,basement dweller,harmful,Experience
90,train,西格玛男人,"是一种社会学概念，指代一类男性特征和行为模式，可以翻译为“独狼”,这类人的性格特点是独立、自律、不追求异性且尊重所有人，高质量男性用来形容自身的一种称呼。","A self-styled lone-wolf man who is independent, self-disciplined, emotionally detached, and unconcerned with seeking social approval or romantic validation, often used as a label for an idealized high-quality masculine persona.",sigma male,Sigma man,alpha male,lone wolf,non-harmful,Quotation
91,train,信球,形容人傻。通常用来骂人二半吊、脑子不够使，办事不周延、超出常理，算是骂人的话。,"A dialectal insult for someone who is stupid, foolish, clueless, or lacking common sense, often used to scold a person for acting irrationally, carelessly, or without thinking things through.",dumbass,faith ball,ballhead,goofball,harmful,Slang
92,test,女拳,作为网络语，是由“女权”一词演变而来，贬义词，是指歪曲男女平等的真正含义，打着追求男女平等的旗号，却要追求女性地位高于男性，只想享受权利，不想承担义务的一种女权者。,"A derogatory pun on “feminism,” used to attack women perceived as extreme, hostile to men, or demanding women’s rights while rejecting equal responsibilities.",feminazi,female fist,feminism,radical feminist,harmful,Homophonic pun
93,train,废物点心,北京话/普通话，也可以算是北京土话，本义指中看不中吃的点心，引申为没有用的人，贬损某人无能、无用的词语，骂人的话。,"It is a derogatory insult for someone seen as useless, incompetent, or good for nothing, implying they may appear acceptable on the surface but have no real ability or value.",good-for-nothing,useless pastry,piece of cake,dead weight,harmful,Slang
94,train,领盒饭,原指龙套戏拍完了走的时候可以领一份盒饭，现指影视作品中的因剧中人物挂掉演员下线的情况，接下来就看不到这个人的新戏份了。引申含义表示在戏中某个人马上要死了、退场了，也可代表下岗。,"It describes a character who is about to die, be written out of the story, or otherwise exit the show, so the audience should not expect to see new scenes with them afterward.",get killed off,get a boxed lunch,lunch break,get fired,non-harmful,Quotation
95,train,下海,网络流行词，在近代是底层社会的“黑话”，意思是“女子从事不正当行当”。,"A euphemistic or derogatory slang term for a woman entering sex work or another socially condemned sexual trade, often implying a fall into an improper or disreputable line of work.",go on the game,go to sea,go into business,take the plunge,harmful,Slang
96,train,脑残粉,网络流行词，通常指的是那些对于名人以及不同的品牌极度痴迷，疯狂追求以至于失去了个人理智的人。这样的一种人会对任何不利于他们所追求的名人或者品牌的言论进行猛烈的攻击，甚至伤及无辜。,"An irrational, fanatical, and aggressive fan who blindly worships a celebrity, brand, or idol, losing personal judgment and fiercely attacking anyone who criticizes or says anything negative about the object of their devotion.",toxic stan,brain-damaged fan,groupie,superfan,harmful,Experience
97,train,矮穷矬,网络流行语，意思是又矮，又穷，又不好看。这个词汇则常常被用来形容那些长相普通、经济状况较差的人群。后来引申为形容对异性没有吸引力，生活很惨。,"A derogatory label for a man seen as short, poor, unattractive, and lacking romantic or social appeal, often implying that he has low status, little confidence, and a difficult or unsuccessful life.","short, broke, and unattractive loser",short and shabby,short king,broke boy,harmful,Abbreviation
